Video URL,Title,Captions Available,Caption Text
https://www.youtube.com/watch?v=jjHlsGlUVnY,Chance Pe Dance,No,No captions available :()
https://www.youtube.com/watch?v=m3-aeYwe35I,Mere Baap Pehle Aap,No,No captions available :()
https://www.youtube.com/watch?v=1qrAUbNV-DQ,Double Di Trouble,No,No captions available :()
https://www.youtube.com/watch?v=27MLIPr2Agg,Bombay March 12,No,No captions available :()
https://www.youtube.com/watch?v=DfYJyN4BkZY,The Hunger Games: Mockingjay - Part 2,No,No captions available :()
https://www.youtube.com/watch?v=XhuJD-oszqk,Killing Veerappan,No,No captions available :()
https://www.youtube.com/watch?v=BQe6pxutESA,The Secret Life of Walter Mitty,No,No captions available :()
https://www.youtube.com/watch?v=lbsodhlLs_A,Ithu Pathiramanal,No,No captions available :()
https://www.youtube.com/watch?v=KXxgqm1_trE,Saadey CM Saab,No,No captions available :()
https://www.youtube.com/watch?v=Bbij7od0PBw,Happy Durbar,No,No captions available :()
https://www.youtube.com/watch?v=VxOvaKNfnVg,Kaminey,No,No captions available :()
https://www.youtube.com/watch?v=Ef3fv0GdNj8,Cocktail,No,No captions available :()
https://www.youtube.com/watch?v=MfRZBywjoHI,Meet Joe Black,No,No captions available :()
https://www.youtube.com/watch?v=gA47OLLEwDo,Anaamika,No,No captions available :()
https://www.youtube.com/watch?v=cX5CRvcC9Z4,Teraa Surroor,No,No captions available :()
https://www.youtube.com/watch?v=V1fex88wkNk,Yakshiyum Njanum,No,No captions available :()
https://www.youtube.com/watch?v=FR5VP_9jL1U,Qaidi Band,Yes,"A majority of prisoners in every
Indian jail are Undertrials. Undertrials are prisoners waiting
for a verdict from court. This story is about such innocent
Undertrials. Come on! Who wants to bet? If Sanju catches the rat,
you get 1.5 If the rat gets away 2.5 Do you mind if I go first? My spot is yours,
if you have 200 bucks. Scams in the toilet also? Gotta do something for expenses? You have to pay up today, my hearing is coming up
in two weeks. My lawyer says I'm getting out
for sure this time. Undertrials aren't allowed
to earn money... Should I tell the warden
you are running a business? Bloody Thief! Catch her. Independence day is coming up... this 15th August we will organize
an entertaining program. For the first time we will make
male-female orchestra party. East or West, India is the best! Where have we arrived... Baby loves to groove on bass. C'mon everybody! Rufi's poetry will be the lyrics. Maskeen will play the organ. Ogu on percussion. Sanju and Bindu will sing a duet. Russian lady and Chinese madam
will be chorus. We will have a truly
international orchestra. We're going to rock these songs... Gain points for 'good conduct'... And get acquitted at our
next hearing! I am, I am, I am, I am, I'm India! I'm yours, and you're mine... O my India! I am, I am, I am, I am, I'm India! Just look at their energy and spirit! Who would think they're
inmates of a jail. The song sung by the prisoners
of the central jail has now become... ...the new anthem of patriotism
all over the country. These prison-band songs
are going to get me votes. Don't let them get out
before the election. Done Sir. Done. Stop Maskeen Singh! You're not going to court... But sir, it's my hearing today. Ya, it's been cancelled. Sir, please don't send me
back to jail. You have no idea what life
in a jail is like! I love you. Get lost! We're innocent... but we'll rot in this jail forever. It's time for us to fly away. What has happened to us,
can happen to you too... You should take care
of your freedom."
https://www.youtube.com/watch?v=B-t_6R0UemY,Nee Enge En Anbe,No,No captions available :()
https://www.youtube.com/watch?v=A7NErOvHxqM,Bhaag johnny,No,No captions available :()
https://www.youtube.com/watch?v=bKhr5EQmBCE,"I, Robot",No,No captions available :()
https://www.youtube.com/watch?v=Q82cJcSjZok,Ready,Yes,"Will you fix by just seeing one phot?
- How do I fix then? You should first see that girl directly. She should give a feel that is born just for you You should feel ready to take any risk for her. Baby! Say Om Namaste! Baby! Say Om Namaste
in the party time... Boy! Say Om Namaste! I will be your partner in
the pretty crime... Beat him up badly! Grandpa! Girls are laughing at me
sitting at the back bench. Will they not laugh when you are like a pig? The character I created phoned me
and asked me to book the guest house. It is called sub-conscious memory power. I am very confused.
Explain me clearly. Like Chandramukhi, Aparichithudu,
Ghajini, a McDowell Murthy! That is all? You make us fools coming to our place?
None would go alive from here. Ready, to rock your life
Get ready."
https://www.youtube.com/watch?v=NHeSofwUtdM,I am Kalam,No,No captions available :()
https://www.youtube.com/watch?v=e8VNLCl_ptA,Bhaiyya My Brother,No,No captions available :()
https://www.youtube.com/watch?v=oh7IvSMz4IY,Sweetiee Weds NRI,No,No captions available :()
https://www.youtube.com/watch?v=EpPFlhJ4EMg,Bangkok Summer,No,No captions available :()
https://www.youtube.com/watch?v=79RDJjUciIA,Sarkar Colony,No,No captions available :()
https://www.youtube.com/watch?v=TyvoDBTquKA,Guddu Rangeela,No,No captions available :()
https://www.youtube.com/watch?v=93NMGKCqUUU,Kanchu,Yes,"We must do all this
when we fall in love. It is a waste to fall in love
if we do not do all this things. Look mom, I will inform you
when I want to marry Till then, do not talk about it. I curse you that you will also fall
in love and feel for it. Hey Goutham, I love you! Why are you accusing me, madam? What madam, did I ogle you? She will not tell lie What? Should I be like you? You have taken away
pillion seat of your bike also. I have said whatever I want to say.
But you did not. Thought about you...
It is love poetry in my eyes. Do not say like that.
You are coming with us! I know very well that you will come here. Thus I bought the one you are 
searching for before itself Someone liking you may have taken 
and hid that When I am speaking important topic, 
why do you speak nonsense? Hey!        - What?
You have not said who is your lover. He is Arvind and the one 
I am going to marry It is bad to give heart and
to offer love is a sin I got to know the truth today, baby! Excuse me, I am Krishna. Sales executive 
with monthly 20, 000 salary. Oh no, he has started! I have a feeling that someone is 
following me secretly from a few days"
https://www.youtube.com/watch?v=Fvkwu9sDN0o,Raghavendra,Yes,"Raghavendra is not vegetarian, he is a weapon. If a women is in lodging and if my men are in jail
honor is lost. After honor is lost what is the use of life, why?
I like it. I like it
I had taken Calcutta pan, now watch. Rub your lips with mine 
Heart has slipped tracks on your song. While catching and playing with the hips in the game. I have a small doubt - What? 
What did I see in you and love? I like your style and your smile is my life. You are for me and happiness from now on. That girl was not killed by others, you killed her. From today on wards, we would think
that you were not born to us. Ok dad, I will be as you want from today
I would live like paralysed, though perfect. I would stop eating chilly and salt.
And start to live like a saint. Come Raghavendra, come! Raghavendra"
https://www.youtube.com/watch?v=xXM8FnOtSRg,Orphan,No,No captions available :()
https://www.youtube.com/watch?v=dSBtY9Ca2Eg,Ye Maaya Chesave,Yes,"It's me, I am Karthik I want to become a filmmaker father. That's when I saw her. Jessi. Don't melt my heart and go away. many came and showered beauty
but nothing happened to this heart. you came yesterday did some magic
and my heart blossomed. You are not following me right. Hey, if I punch on your face.... Leave me. It's not going to work. It's over. So many girls in this world,
but why did I love Jessi. Hello... Hellooo...
Hosannah...."
https://www.youtube.com/watch?v=hnRASCy1mXU,Seethamma Vakitlo Sirimalle Chettu,Yes,"The elder one does not bear any word I will be the same,
I will be just like what I am. Younger one does magic with words Lame people and a lame world,
one puff to get the courage. Look for a good match and
get her married No, I will not.
I will not marry at all. This is him about whom I said will
become the best son in law among all. Will he be six feet tall?
Will he walk seven feet with me? Would he give whatever I ask? What, your figure? If I slap, you will have a blast bloody! Seetha! Jasmine twig in the
courtyard of Seethamma... It is blooming with flowers... Pluck the flowers without
disturbing the branch... Deck Seethamma is tresses
with jasmine..."
